11584 :11276 2019-10-21 14:26:27 879 :  0:	login accepted: [ admin68 ]
11584 :11276 2019-10-21 14:26:27 891 :  0:	access denied to subsystem [terminal] for user Admin68
11584 :11976 2019-10-21 14:26:27 911 :  0:	session.exe end
 4124 : 4384 2019-10-21 14:26:47 794 :  0:	KTS connected to 192.168.1.103:38330
 3224 :11596 2019-10-21 14:26:49 555 :  0:	session.exe started 
 3224 :11596 2019-10-21 14:26:49 674 :  0:	connected to 192.168.1.103:38330
 3224 :11436 2019-10-21 14:26:52 187 :  0:	login accepted: [ admin68 ]
 3224 :11436 2019-10-21 14:26:52 225 :  0:	access denied to subsystem [terminal] for user Admin68
 3224 :11596 2019-10-21 14:26:52 235 :  0:	shutdown session
 3224 :11840 2019-10-21 14:26:52 369 :  0:	session.exe end
 4124 : 4128 2019-10-21 14:28:38 103 :  0:	stopping service
11472 : 5392 2019-10-21 14:28:41 169 :  0:	daemon.exe started
11472 : 4116 2019-10-21 14:28:41 186 :  0:	starting service
11472 : 5392 2019-10-21 14:29: 7 886 :  0:	stopping service
 8796 :10380 2019-10-21 14:29:17 449 :  0:	daemon.exe started
 8796 : 4444 2019-10-21 14:29:17 471 :  0:	starting service
 8796 : 4444 2019-10-21 14:29:42 372 :  0:	KTS connected to 192.168.1.170:55695
11956 :12284 2019-10-21 14:29:42 699 :  0:	session.exe started 
11956 :12284 2019-10-21 14:29:42 804 :  0:	connected to 192.168.1.170:55695
11956 :11472 2019-10-21 14:29:45 175 :  0:	login refused: [ Original ] - The user name or password is incorrect.

11956 :11472 2019-10-21 14:29:45 268 :  0:	login refused: [ Original ] - The user name or password is incorrect.

11956 :11472 2019-10-21 14:29:45 288 :  0:	login refused: [ Original ] - The user name or password is incorrect.

11956 :11472 2019-10-21 14:29:45 305 :  0:	max login attempts
11956 :11716 2019-10-21 14:29:45 326 :  0:	session.exe end
 8796 :10380 2019-10-22 16: 3:58 189 :  0:	stopping service
 3252 : 3256 2019-10-22 16: 9:38  39 :  0:	daemon.exe started
 3252 : 3716 2019-10-22 16: 9:38  86 :  0:	starting service
 3252 : 3716 2019-10-22 18:19:21 409 :  0:	KTS connected to 192.168.1.168:58080
10940 :  416 2019-10-22 18:19:24 910 :  0:	session.exe started 
10940 :  416 2019-10-22 18:19:25  27 :  0:	connected to 192.168.1.168:58080
10940 :13236 2019-10-22 18:19:27 950 :  0:	login refused: [ Original ] - The user name or password is incorrect.

10940 :13236 2019-10-22 18:19:27 969 :  0:	login refused: [ Original ] - The user name or password is incorrect.

10940 :13236 2019-10-22 18:19:27 989 :  0:	login refused: [ Original ] - The user name or password is incorrect.

10940 :13236 2019-10-22 18:19:28   5 :  0:	max login attempts
10940 : 8608 2019-10-22 18:19:28  24 :  0:	session.exe end
 4140 : 4144 2019-10-26 17: 4:15  24 :  0:	daemon.exe started
 4140 : 4440 2019-10-26 17: 4:15  47 :  0:	starting service
 3116 : 3120 2019-10-28  9:29:56 768 :  0:	daemon.exe started
 3116 : 3460 2019-10-28  9:29:56 846 :  0:	starting service
 4520 : 4524 2019-10-28 11: 3:16 374 :  0:	daemon.exe started
 4520 : 4848 2019-10-28 11: 3:16 421 :  0:	starting service
 4364 : 4368 2019-10-28 16:30: 1  26 :  0:	daemon.exe started
 4364 : 4544 2019-10-28 16:30: 1  73 :  0:	starting service
 4364 : 4368 2019-10-28 16:44:40  25 :  0:	stopping service
 3852 : 3472 2019-10-28 16:46:21 826 :  0:	daemon.exe started
 3852 : 4396 2019-10-28 16:46:21 872 :  0:	starting service
 3852 : 3472 2019-10-29  0:34:57 844 :  0:	stopping service
 3576 : 3580 2019-10-29  0:36:22 435 :  0:	daemon.exe started
 3576 : 3876 2019-10-29  0:36:22 482 :  0:	starting service
 3576 : 3580 2019-10-29  1:24:18 673 :  0:	stopping service
 4248 : 4252 2019-10-29  9:50:46 949 :  0:	daemon.exe started
 4248 : 4480 2019-10-29  9:50:46 965 :  0:	starting service
 4212 : 4216 2019-10-29 14:56:18 704 :  0:	daemon.exe started
 4212 : 4416 2019-10-29 14:56:18 735 :  0:	starting service
 4480 : 4484 2019-10-29 22:42:12 932 :  0:	daemon.exe started
 4480 : 4700 2019-10-29 22:42:12 979 :  0:	starting service
16256 : 7436 2019-10-29 23:52: 7 403 :  0:	KSetup::Stop:err
11404 :14692 2019-10-29 23:53: 6 794 :  0:	KSetup::Install:err
15348 : 5860 2019-10-29 23:53: 6 901 :  0:	KSetup::Start:err
  508 :  484 2019-10-29 23:54: 5  96 :  0:	KSetup::Stop:err
  508 :  484 2019-10-29 23:54: 7 101 :  0:	KSetup::Start:err
